flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
31002,13850,7,145,10,0,0,0,-1.646412968635559,5.6640625,5.703125,-0.6744897365570068,0.9719232320785522
31003,13851,7,145,11,0,0,0,-1.3706544637680054,5.6640625,5.703125,-0.6744897365570068,0.6961647272109985
31004,13852,7,145,12,1,1,0,0.6916651725769043,5.6640625,5.703125,0.6744897365570068,0.01717543601989746
31005,13853,7,145,13,0,0,0,-0.9516972899436951,5.6640625,5.703125,-0.6744897365570068,0.27720755338668823
31006,13854,7,145,14,0,0,0,-0.7186431884765625,5.6640625,5.703125,-0.6744897365570068,0.044153451919555664
31007,13855,7,145,15,0,0,0,-1.177573561668396,5.6640625,5.703125,-0.6744897365570068,0.5030838251113892
31008,13856,7,146,0,0,0,0,-1.0896111726760864,5.703125,5.7421875,-0.6744897365570068,0.4151214361190796
31009,13857,7,146,1,1,1,0,0.37598511576652527,5.703125,5.7421875,0.6744897365570068,0.29850462079048157
31010,13858,7,146,2,0,0,0,-0.690447211265564,5.703125,5.7421875,-0.6744897365570068,0.01595747470855713
31011,13859,7,146,3,0,0,0,-0.6907114386558533,5.703125,5.7421875,-0.6744897365570068,0.016221702098846436
31012,13860,7,146,4,1,1,0,0.12923720479011536,5.703125,5.7421875,0.6744897365570068,0.5452525317668915
31013,13861,7,146,5,1,1,0,0.31016024947166443,5.703125,5.7421875,0.6744897365570068,0.3643294870853424
31014,13862,7,146,6,0,0,0,-0.980428159236908,5.703125,5.7421875,-0.6744897365570068,0.3059384226799011
31015,13863,7,146,7,1,1,0,1.1116185188293457,5.703125,5.7421875,0.6744897365570068,0.43712878227233887
31016,13864,7,146,8,1,1,0,0.4729631841182709,5.703125,5.7421875,0.6744897365570068,0.20152655243873596
31017,13865,7,146,9,0,0,0,-0.5907829403877258,5.703125,5.7421875,-0.6744897365570068,0.083706796169281
